地点,佣兵,建议队伍（完善）
href="https://www.yuque.com/iksar/blvrpa/rugoet#F5p9a" 1--10,泰瑞尔,巴斯顿 自然队
(普通)  2--2,莉莉安,href="https://www.yuque.com/iksar/blvrpa/bgof6t#afwAj" 御三家 巴斯顿 自然队
href="https://www.yuque.com/iksar/blvrpa/rugoet#lzZh0" 2--7,阿兰娜,巴斯顿 自然队
href="https://www.yuque.com/iksar/blvrpa/rugoet#lzZh0" 2--8,迦罗娜 克尔苏加德,巴斯顿 自然队
href="https://www.yuque.com/iksar/blvrpa/rugoet#smhgE" 2--9,吉恩,巴斯顿 自然队
href="https://www.yuque.com/iksar/blvrpa/rugoet#smhgE" 2--10,玛克扎尔,巴斯顿 自然队
href="https://www.yuque.com/iksar/blvrpa/rugoet#smhgE" 2--11,麦迪文,巴斯顿 自然队
href="https://www.yuque.com/iksar/blvrpa/ly4ygt#Wvbv2" 3--6,阿尔福斯,巴斯顿 自然队
4--11,奔波儿霸,href="https://www.yuque.com/iksar/blvrpa/xgz0h10wy37zslg2#PcyQD" 自然队
4--14,伊瑟拉,href="https://www.yuque.com/iksar/blvrpa/xgz0h10wy37zslg2#PcyQD" 自然队
4--15,比格沃斯,href="https://www.yuque.com/iksar/blvrpa/xgz0h10wy37zslg2#PcyQD" 自然队
4--16,血骨傀儡 克罗米,href="https://www.yuque.com/iksar/blvrpa/xgz0h10wy37zslg2#PcyQD" 自然队
5--1,希奈丝特拉,巴斯顿 自然队
5--2,拉希奥,巴斯顿 自然队
5--3,加尔范,巴斯顿 自然队
5--5,洛克霍拉,巴斯顿 自然队
5--6,巴琳达,火焰队
5--7,玉珑,
5--8,珑心,
5--9,砮皂,
5--10,雪怒,
5--12,赤精,
6--1,死亡之翼 奈法利安,
6--2,德雷克塔尔 卡扎库斯,
6--4,范达尔 奥妮克希亚,
6--6,火车王,自然队+精灵龙
7--1,恩佐斯,
7--2,玛维影歌 阿茜萨,
7--3,钩牙,
7--4,克苏恩 芬利爵士,
8--1,铜须 贝恩血蹄,
8--2,卡拉瑟雷斯,
8--3,周卓 帕奇斯,
8--4,艾萨拉,
href="https://www.yuque.com/iksar/blvrpa/xl620w#oGxBF" 8--5,伊瑞尔 滑矛,巴斯顿
href="https://www.yuque.com/iksar/blvrpa/xl620w#CAj66" 8--6,雷诺杰克逊 海巫扎尔吉拉,自然队
href="https://www.yuque.com/iksar/blvrpa/xl620w#oGxBF" 8--7,瓦斯琪女士,巴斯顿
href="https://www.yuque.com/iksar/blvrpa/xl620w#oGxBF" 8--8,伊利斯逐星,巴斯顿
href="https://www.yuque.com/iksar/blvrpa/xl620w#WHnjY" 8--9,尤格萨隆 变装大师,
href="https://www.yuque.com/iksar/blvrpa/xl620w#r30QT" 8--10,亚煞极,
9--1,邦桑迪 高弗雷,
9--2,血怒者科尔拉克,
9--3,尼尔鲁火刃,
9--4,苔丝格雷万恩,
9--5,卡德加,
9--6,奈姆希灵沼,
9--7,阿克蒙德,
9--9,詹迪斯·巴罗夫,
9--10,摩洛克福尔摩斯,
